invoice_id,vendor_name,amount,tax_amount,tax_rate,description,date,is_fake
INV-1692,IBM Corporation,194.85,35.07,0.18,Cloud computing services for Q1 2024,2024-08-06 01:58:36.481350,0
INV-2503,Oracle Corporation,4483.24,806.98,0.18,Professional consulting services,2025-05-15 01:58:36.481350,0
INV-4742,Oracle Corporation,8858.1,1594.46,0.18,Software licensing and support services,2025-03-01 01:58:36.481350,0
INV-2086,IBM Corporation,1510.65,271.92,0.18,Professional consulting services,2024-11-01 01:58:36.481350,0
INV-8161,Microsft Corp,26271.01,4728.78,0.18,Emergency maintenance work,2025-02-05 01:58:36.481350,1
INV-5373,Aple Inc,27479.56,5173.05,0.18727219865972478,Various professional services,2025-06-03 01:58:36.481350,1
EXUNHJRX,Gogle LLC,32191.16,6174.02,0.19294537616280355,Emergency maintenance work,2025-06-02 01:58:36.481350,1
INV-8622,Google LLC,1530.08,275.41,0.18,Professional consulting services,2025-04-17 01:58:36.481350,0
INV-9593,Aple Inc,4789.73,459.96,0.10146375253336166,Emergency maintenance work,2025-05-13 01:58:36.497189,1
INV-6658,Oracl Corporation,32054.05,5769.73,0.18,Various professional services,2025-03-16 01:58:36.481350,1
INV-5028,IBM Corporaton,24976.5,4495.77,0.18,Various professional services,2025-03-14 01:58:36.481350,1
INV-1769,Google LLC,4594.58,827.02,0.18,Cloud computing services for Q1 2024,2024-10-14 01:58:36.481350,0
INV-2335,Salesforce Inc,4507.53,811.36,0.18,Professional consulting services,2025-06-08 01:58:36.481350,0
INV-1896,IBM Corporaton,25000.0,4500.0,0.18,Emergency maintenance work,2025-04-29 01:58:36.481350,1
TF41IVR7,IBM Corporaton,9306.15,1675.11,0.18,Various professional services,2025-03-30 01:58:36.481350,1
WUPB5C4W,Amazon Web Servces,5000.0,811.47,0.16806611599989102,Miscellaneous services and products,2024-09-25 01:58:36.481350,1
INV-5250,Gogle LLC,22830.35,6255.36,0.27506135056731795,General business expenses,2025-06-25 01:58:36.481350,1
INV-1339,Microsft Corp,24332.98,4379.94,0.18,Emergency maintenance work,2024-07-19 01:58:36.481350,1
INV-5782,Apple Inc,9318.82,1677.39,0.18,Hardware procurement and installation,2024-11-10 01:58:36.481350,0
INV-2237,IBM Corporaton,38119.1,6983.32,0.18372048255775192,Various professional services,2025-07-01 01:58:36.481350,1
NY2GLPB0,Oracl Corporation,35945.74,5728.09,0.15805821714002555,Various professional services,2025-05-13 01:58:36.481350,1
9KSGJP5O,Salesforec Inc,4634.18,834.15,0.18,Emergency maintenance work,2024-12-02 01:58:36.481350,1
INV-1547,Amazon Web Services,7839.82,1411.17,0.18,Cloud computing services for Q1 2024,2025-05-15 01:58:36.481350,0
INV-7273,Amazon Web Services,959.55,172.72,0.18,Software licensing and support services,2025-03-04 01:58:36.481350,0
215HQLLM,Oracl Corporation,34359.3,6184.67,0.18,Various professional services,2025-05-24 01:58:36.481350,1
INV-6553,Apple Inc,2163.39,389.41,0.18,Hardware procurement and installation,2024-10-28 01:58:36.481350,0
INV-3302,IBM Corporation,2602.79,468.5,0.18,Hardware procurement and installation,2024-08-13 01:58:36.481350,0
INV-3236,Microsft Corp,20894.06,2861.34,0.13641820154301715,Miscellaneous services and products,2025-04-25 01:58:36.481350,1
PRAZ8B2H,Microsft Corp,21514.08,4076.7,0.18983142746204473,Emergency maintenance work,2025-03-30 01:58:36.481350,1
INV-6858,Google LLC,575.55,103.6,0.18,Software licensing and support services,2025-01-05 01:58:36.481350,0
INV-6199,Apple Inc,5009.36,901.68,0.18,Hardware procurement and installation,2025-05-07 01:58:36.481350,0
INV-4133,Salesforce Inc,2865.53,515.8,0.18,Software licensing and support services,2025-06-28 01:58:36.481350,0
INV-7553,Microsft Corp,42630.65,7673.52,0.18,General business expenses,2024-08-20 01:58:36.497189,1
INV-5331,Gogle LLC,2969.4,534.49,0.18,Miscellaneous services and products,2024-09-22 01:58:36.481350,1
INV-7307,Gogle LLC,12999.62,2339.93,0.18,Miscellaneous services and products,2025-03-31 01:58:36.481350,1
INV-5573,IBM Corporation,6448.92,1160.81,0.18,Hardware procurement and installation,2025-05-09 01:58:36.481350,0
INV-7075,Microsoft Corp,9287.73,1671.79,0.18,Cloud computing services for Q1 2024,2024-08-06 01:58:36.481350,0
INV-2009,Oracl Corporation,5000.0,417.89,0.08328184646222099,Emergency maintenance work,2025-01-06 01:58:36.481350,1
INV-9787,Gogle LLC,5823.46,1048.22,0.18,Various professional services,2025-06-26 01:58:36.497189,1
INV-9497,Google LLC,8366.96,1506.05,0.18,Cloud computing services for Q1 2024,2024-08-13 01:58:36.481350,0
INV-1713,Gogle LLC,7434.59,1338.23,0.18,Various professional services,2024-11-10 01:58:36.481350,1
INV-2342,Amazon Web Services,7186.83,1293.63,0.18,Software licensing and support services,2025-02-16 01:58:36.481350,0
INV-7998,Oracle Corporation,8543.23,1537.78,0.18,Hardware procurement and installation,2025-01-19 01:58:36.481350,0
INV-8753,Amazon Web Services,2670.98,480.78,0.18,Software licensing and support services,2025-06-11 01:58:36.481350,0
ZOHVT1IF,Salesforec Inc,9925.4,1786.57,0.18,Emergency maintenance work,2025-05-25 01:58:36.497189,1
INV-7806,Aple Inc,21816.13,3926.9,0.18,Miscellaneous services and products,2024-10-11 01:58:36.481350,1
INV-7251,Salesforec Inc,8331.0,1499.58,0.18,General business expenses,2025-06-23 01:58:36.481350,1
INV-8403,Apple Inc,2691.64,484.5,0.18,Software licensing and support services,2025-04-21 01:58:36.481350,0
INV-6832,Apple Inc,2424.26,436.37,0.18,Professional consulting services,2025-04-10 01:58:36.481350,0
INV-9835,IBM Corporaton,12785.1,1613.26,0.12387398661561584,General business expenses,2025-04-09 01:58:36.481350,1
INV-3875,Amazon Web Servces,1000.0,180.0,0.18,Emergency maintenance work,2025-02-05 01:58:36.497189,1
INV-8916,Amazon Web Services,3902.0,702.36,0.18,Cloud computing services for Q1 2024,2025-07-11 01:58:36.481350,0
INV-5885,Oracle Corporation,4709.42,847.7,0.18,Cloud computing services for Q1 2024,2024-09-17 01:58:36.481350,0
INV-1863,Google LLC,4919.93,885.59,0.18,Hardware procurement and installation,2025-07-04 01:58:36.481350,0
INV-7413,Salesforce Inc,675.92,121.67,0.18,Hardware procurement and installation,2024-08-01 01:58:36.481350,0
INV-1231,IBM Corporaton,15060.94,3036.18,0.20151393023200265,Various professional services,2025-06-14 01:58:36.497189,1
INV-6250,Aple Inc,2322.63,418.07,0.18,Miscellaneous services and products,2024-10-03 01:58:36.481350,1
INV-8070,Amazon Web Servces,6160.26,1108.85,0.18,Miscellaneous services and products,2025-05-07 01:58:36.481350,1
INV-6721,Aple Inc,710.9,127.96,0.18,Miscellaneous services and products,2024-08-14 01:58:36.481350,1
INV-1389,Aple Inc,28971.84,5214.93,0.18,General business expenses,2024-08-18 01:58:36.481350,1
L1GYNOSN,Gogle LLC,27810.06,7996.92,0.2879750335663031,Miscellaneous services and products,2024-11-06 01:58:36.481350,1
INV-1802,Oracl Corporation,12976.76,2335.82,0.18,Various professional services,2025-06-20 01:58:36.481350,1
MOSDMUI0,Oracl Corporation,11843.15,1524.99,0.1297329065603836,Emergency maintenance work,2024-11-05 01:58:36.481350,1
WRUZBZZH,IBM Corporaton,25000.0,1879.93,0.07612866936986577,Various professional services,2025-01-03 01:58:36.481350,1
HAP7GG47,Oracl Corporation,1000.0,180.0,0.18,Miscellaneous services and products,2024-08-22 01:58:36.481350,1
INV-8497,Apple Inc,6669.61,1200.53,0.18,Professional consulting services,2025-03-30 01:58:36.481350,0
INV-4772,Apple Inc,8499.53,1529.92,0.18,Hardware procurement and installation,2025-03-12 01:58:36.481350,0
INV-1808,Microsft Corp,5000.0,900.0,0.18,Miscellaneous services and products,2025-06-04 01:58:36.481350,1
INV-5181,Amazon Web Servces,5000.0,900.0,0.18,General business expenses,2024-07-15 01:58:36.481350,1
INV-1804,Microsft Corp,5616.3,1349.56,0.2437743101517048,General business expenses,2025-04-06 01:58:36.497189,1
INV-6638,Microsft Corp,10000.0,1800.0,0.18,Various professional services,2025-05-02 01:58:36.497189,1
INV-9774,Oracl Corporation,31471.82,5664.93,0.18,Miscellaneous services and products,2024-08-03 01:58:36.481350,1
INV-9755,Oracl Corporation,35200.49,6336.09,0.18,Miscellaneous services and products,2024-08-14 01:58:36.481350,1
INV-9391,Apple Inc,7351.06,1323.19,0.18,Software licensing and support services,2025-05-23 01:58:36.481350,0
INV-3242,Salesforec Inc,41090.99,6293.84,0.1534404516131047,General business expenses,2025-03-16 01:58:36.481350,1
AQSW1UJB,Salesforec Inc,25000.0,4500.0,0.18,Various professional services,2025-05-28 01:58:36.481350,1
INV-6296,Amazon Web Services,548.3,98.69,0.18,Cloud computing services for Q1 2024,2025-04-25 01:58:36.481350,0
INV-2760,Amazon Web Services,5051.68,909.3,0.18,Cloud computing services for Q1 2024,2024-12-17 01:58:36.481350,0
INV-3110,Amazon Web Services,9132.19,1643.79,0.18,Professional consulting services,2024-08-26 01:58:36.481350,0
INV-8823,IBM Corporation,1472.87,265.12,0.18,Professional consulting services,2025-05-16 01:58:36.481350,0
7JYRTVH1,Oracl Corporation,5000.0,1094.7,0.22202761047470915,General business expenses,2024-10-08 01:58:36.481350,1
INV-4274,Amazon Web Services,909.11,163.64,0.18,Hardware procurement and installation,2025-05-10 01:58:36.481350,0
INV-9732,Apple Inc,5015.31,902.76,0.18,Hardware procurement and installation,2025-01-24 01:58:36.481350,0
INV-3093,Microsoft Corp,7318.6,1317.35,0.18,Software licensing and support services,2024-11-04 01:58:36.481350,0
INV-6522,Salesforec Inc,10000.0,1800.0,0.18,General business expenses,2025-03-10 01:58:36.481350,1
INV-8095,Microsft Corp,43475.77,7825.64,0.18,Various professional services,2025-01-28 01:58:36.481350,1
LFIFQQ2P,Aple Inc,5000.0,900.0,0.18,Miscellaneous services and products,2024-12-07 01:58:36.481350,1
INV-4798,Gogle LLC,1000.0,176.29,0.19610131051742602,Various professional services,2025-07-10 01:58:36.481350,1
INV-1096,IBM Corporation,8238.98,1483.02,0.18,Cloud computing services for Q1 2024,2025-01-25 01:58:36.481350,0
INV-8828,Oracle Corporation,2052.78,369.5,0.18,Hardware procurement and installation,2025-07-10 01:58:36.481350,0
INV-9461,Google LLC,3750.66,675.12,0.18,Software licensing and support services,2024-10-03 01:58:36.481350,0
INV-8647,IBM Corporaton,7855.61,1414.01,0.18,Miscellaneous services and products,2024-12-14 01:58:36.481350,1
INV-8305,Amazon Web Services,2558.75,460.57,0.18,Professional consulting services,2024-12-25 01:58:36.481350,0
EH5CHRYR,Gogle LLC,36407.58,6553.36,0.18,Various professional services,2025-05-24 01:58:36.499205,1
INV-5158,Salesforec Inc,10000.0,1800.0,0.18,Emergency maintenance work,2025-02-28 01:58:36.499205,1
KX2ORNZ2,Aple Inc,593.53,106.84,0.18,Various professional services,2025-02-11 01:58:36.481350,1
INV-3181,Microsoft Corp,8067.27,1452.11,0.18,Software licensing and support services,2024-08-05 01:58:36.481350,0
INV-6130,IBM Corporation,9330.19,1679.43,0.18,Cloud computing services for Q1 2024,2024-12-12 01:58:36.481350,0
INV-2723,Apple Inc,5340.4,961.27,0.18,Hardware procurement and installation,2025-01-16 01:58:36.481350,0
INV-7505,Amazon Web Servces,26540.86,7289.69,0.2732425018189971,Emergency maintenance work,2024-07-29 01:58:36.481350,1
INV-3806,Oracl Corporation,10000.0,1249.17,0.12951728115579925,Various professional services,2024-11-17 01:58:36.481350,1
INV-7516,Apple Inc,9522.55,1714.06,0.18,Cloud computing services for Q1 2024,2025-05-13 01:58:36.481350,0
INV-1727,Oracl Corporation,2404.31,357.42,0.15835613102018603,General business expenses,2025-06-23 01:58:36.481350,1
BF88WXX4,IBM Corporaton,17906.56,1484.44,0.08089682148509807,Emergency maintenance work,2025-04-14 01:58:36.481350,1
INV-6816,Amazon Web Services,4943.61,889.85,0.18,Software licensing and support services,2024-08-13 01:58:36.481350,0
INV-7370,IBM Corporation,2624.82,472.47,0.18,Professional consulting services,2024-09-12 01:58:36.481350,0
INV-3546,IBM Corporation,6559.82,1180.77,0.18,Professional consulting services,2025-06-16 01:58:36.481350,0
INV-6249,Amazon Web Services,4955.18,891.93,0.18,Hardware procurement and installation,2025-03-21 01:58:36.481350,0
INV-8701,Google LLC,5704.76,1026.86,0.18,Software licensing and support services,2025-05-13 01:58:36.481350,0
INV-1153,Oracl Corporation,1737.07,312.67,0.18,Miscellaneous services and products,2024-11-17 01:58:36.481350,1
INV-9592,Gogle LLC,40460.45,7282.88,0.18,Miscellaneous services and products,2024-10-06 01:58:36.481350,1
INV-1363,Google LLC,3007.59,541.37,0.18,Hardware procurement and installation,2025-03-31 01:58:36.481350,0
INV-1246,IBM Corporation,6431.66,1157.7,0.18,Hardware procurement and installation,2025-07-13 01:58:36.481350,0
INV-6295,Salesforce Inc,2038.42,366.92,0.18,Software licensing and support services,2024-09-10 01:58:36.481350,0
AORCWVR4,Salesforec Inc,25000.0,4500.0,0.18,Miscellaneous services and products,2025-05-10 01:58:36.481350,1
YOCZCJS5,Gogle LLC,42023.31,10693.35,0.25363131946486217,General business expenses,2025-06-24 01:58:36.481350,1
INV-1748,Apple Inc,3020.91,543.76,0.18,Cloud computing services for Q1 2024,2025-06-10 01:58:36.481350,0
INV-9036,Aple Inc,36112.21,4683.32,0.12921040702033232,General business expenses,2024-10-09 01:58:36.481350,1
INV-9417,Amazon Web Servces,19306.13,3475.1,0.18,Various professional services,2024-12-22 01:58:36.497189,1
INV-4977,Microsft Corp,26187.18,4713.69,0.18,Emergency maintenance work,2024-11-13 01:58:36.499205,1
INV-2841,Amazon Web Services,2121.02,381.78,0.18,Software licensing and support services,2025-01-24 01:58:36.465521,0
INV-6427,Apple Inc,5984.4,1077.19,0.18,Professional consulting services,2025-03-30 01:58:36.481350,0
5UMVF06K,Microsft Corp,5000.0,1294.39,0.2529012303536926,General business expenses,2025-04-21 01:58:36.481350,1
INV-4092,Aple Inc,2192.04,394.57,0.18,Miscellaneous services and products,2024-11-23 01:58:36.481350,1
INV-6734,Microsoft Corp,5000.33,900.06,0.18,Software licensing and support services,2024-07-23 01:58:36.481350,0
INV-1882,IBM Corporaton,49935.8,8988.44,0.18,Emergency maintenance work,2025-03-30 01:58:36.481350,1
INV-7407,Oracle Corporation,6697.59,1205.57,0.18,Cloud computing services for Q1 2024,2025-04-24 01:58:36.481350,0
INV-7276,Aple Inc,18727.09,3403.16,0.18252109629872748,General business expenses,2025-03-29 01:58:36.481350,1
HWFB1CA3,Salesforec Inc,38287.29,6891.71,0.18,Miscellaneous services and products,2025-06-05 01:58:36.497189,1
INV-8378,Oracle Corporation,9468.38,1704.31,0.18,Professional consulting services,2024-07-26 01:58:36.481350,0
INV-6970,Google LLC,8512.41,1532.23,0.18,Hardware procurement and installation,2025-05-26 01:58:36.481350,0
INV-2887,Google LLC,1560.14,280.83,0.18,Cloud computing services for Q1 2024,2024-07-26 01:58:36.481350,0
INV-7181,Oracle Corporation,5113.91,920.5,0.18,Software licensing and support services,2025-06-16 01:58:36.481350,0
INV-8114,IBM Corporation,2696.1,485.3,0.18,Cloud computing services for Q1 2024,2025-01-17 01:58:36.481350,0
INV-2005,IBM Corporation,1027.67,184.98,0.18,Cloud computing services for Q1 2024,2024-09-25 01:58:36.481350,0
INV-4132,Gogle LLC,5000.0,900.0,0.18,Various professional services,2025-04-26 01:58:36.481350,1
INV-8966,Apple Inc,431.93,77.75,0.18,Software licensing and support services,2024-11-11 01:58:36.481350,0
INV-6638,IBM Corporation,6079.41,1094.29,0.18,Hardware procurement and installation,2024-08-16 01:58:36.481350,0
INV-1331,Microsft Corp,28347.31,5653.02,0.20024907383129975,General business expenses,2025-05-07 01:58:36.499205,1
INV-1977,Aple Inc,5036.22,906.52,0.18,Emergency maintenance work,2024-10-19 01:58:36.481350,1
INV-8992,Amazon Web Servces,22620.9,4071.76,0.18,Emergency maintenance work,2024-11-20 01:58:36.481350,1
INV-7724,Microsoft Corp,4737.01,852.66,0.18,Professional consulting services,2025-05-29 01:58:36.481350,0
INV-3942,IBM Corporation,2307.65,415.38,0.18,Professional consulting services,2024-12-23 01:58:36.481350,0
INV-9885,Amazon Web Servces,44286.5,12994.54,0.2927175681537145,Miscellaneous services and products,2025-01-26 01:58:36.497189,1
INV-3407,IBM Corporaton,8964.06,1613.53,0.18,Miscellaneous services and products,2025-04-06 01:58:36.481350,1
INV-2392,Gogle LLC,25000.0,3498.53,0.13805500003443727,Various professional services,2025-02-20 01:58:36.497189,1
INV-9111,Amazon Web Services,9442.43,1699.64,0.18,Hardware procurement and installation,2024-08-01 01:58:36.481350,0
INV-1249,Apple Inc,133.1,23.96,0.18,Cloud computing services for Q1 2024,2025-01-05 01:58:36.481350,0
INV-8960,Salesforce Inc,9962.51,1793.25,0.18,Hardware procurement and installation,2025-03-24 01:58:36.481350,0
KUP9QG1E,Microsft Corp,25000.0,4500.0,0.18,Emergency maintenance work,2024-12-16 01:58:36.481350,1
INV-4077,Oracl Corporation,43258.18,5491.0,0.12715177246445386,Various professional services,2025-04-23 01:58:36.497189,1
INV-9633,Salesforce Inc,5577.25,1003.9,0.18,Cloud computing services for Q1 2024,2025-01-30 01:58:36.481350,0
INV-3633,IBM Corporaton,48264.53,8687.62,0.18,Miscellaneous services and products,2025-03-30 01:58:36.499205,1
INV-8968,Amazon Web Services,4116.03,740.89,0.18,Cloud computing services for Q1 2024,2025-03-04 01:58:36.481350,0
INV-7212,Amazon Web Servces,6942.92,1249.73,0.18,General business expenses,2025-03-05 01:58:36.499205,1
INV-7369,IBM Corporaton,1000.0,199.27,0.15142146588423577,Miscellaneous services and products,2025-06-25 01:58:36.481350,1
INV-6333,IBM Corporaton,18546.47,1741.3,0.09483109340992012,Miscellaneous services and products,2024-08-16 01:58:36.481350,1
INV-3440,Amazon Web Services,2804.01,504.72,0.18,Hardware procurement and installation,2024-08-25 01:58:36.481350,0
INV-6852,Oracle Corporation,2826.5,508.77,0.18,Cloud computing services for Q1 2024,2024-12-25 01:58:36.481350,0
INV-4966,Gogle LLC,5000.0,1428.87,0.2903171196438093,General business expenses,2024-08-28 01:58:36.481350,1
INV-4661,Google LLC,9746.11,1754.3,0.18,Hardware procurement and installation,2025-06-07 01:58:36.481350,0
PBW4ZP0T,Amazon Web Servces,31523.18,5674.17,0.18,Miscellaneous services and products,2025-03-16 01:58:36.481350,1
INV-1321,Microsoft Corp,1232.34,221.82,0.18,Software licensing and support services,2024-11-06 01:58:36.481350,0
INV-6085,Google LLC,3382.04,608.77,0.18,Professional consulting services,2024-09-02 01:58:36.481350,0
INV-6511,Oracl Corporation,23458.21,3368.51,0.14369571124871133,Miscellaneous services and products,2024-09-09 01:58:36.481350,1
INV-5651,Microsft Corp,1000.0,126.27,0.09202661032390565,Various professional services,2024-09-01 01:58:36.481350,1
INV-2166,IBM Corporation,126.71,22.81,0.18,Cloud computing services for Q1 2024,2024-09-26 01:58:36.481350,0
INV-5740,Oracle Corporation,9344.56,1682.02,0.18,Cloud computing services for Q1 2024,2024-08-01 01:58:36.481350,0
INV-8605,Salesforec Inc,12855.48,2313.99,0.18,Miscellaneous services and products,2024-08-01 01:58:36.481350,1
INV-8682,Microsoft Corp,7204.46,1296.8,0.18,Software licensing and support services,2024-07-27 01:58:36.481350,0
KG86YPTK,Microsft Corp,33301.08,7748.95,0.2324954584233987,Miscellaneous services and products,2025-06-19 01:58:36.481350,1
INV-5560,Salesforce Inc,572.97,103.13,0.18,Cloud computing services for Q1 2024,2024-12-21 01:58:36.481350,0
INV-7122,Aple Inc,12979.46,1609.17,0.12273710960521235,General business expenses,2025-04-29 01:58:36.481350,1
INV-3693,Salesforce Inc,7107.17,1279.29,0.18,Hardware procurement and installation,2024-10-19 01:58:36.481350,0
INV-6003,Microsoft Corp,4005.36,720.96,0.18,Cloud computing services for Q1 2024,2025-01-28 01:58:36.481350,0
INV-6419,Microsft Corp,16408.75,3160.55,0.19103690227698372,Emergency maintenance work,2025-06-17 01:58:36.497189,1
INV-1559,Gogle LLC,1154.48,207.81,0.18,Emergency maintenance work,2024-08-09 01:58:36.499205,1
INV-2882,Amazon Web Services,4379.59,788.33,0.18,Cloud computing services for Q1 2024,2025-05-15 01:58:36.481350,0
INV-7128,Oracle Corporation,4693.24,844.78,0.18,Cloud computing services for Q1 2024,2025-04-20 01:58:36.481350,0
INV-6675,Oracl Corporation,1000.0,180.0,0.18,General business expenses,2025-06-26 01:58:36.481350,1
INV-4937,IBM Corporaton,10000.0,1800.0,0.18,Various professional services,2025-05-09 01:58:36.481350,1
INV-9037,Apple Inc,227.36,40.92,0.18,Hardware procurement and installation,2024-08-16 01:58:36.481350,0
INV-4144,Salesforce Inc,5578.63,1004.15,0.18,Software licensing and support services,2025-02-21 01:58:36.481350,0
INV-8603,Salesforec Inc,41805.77,3238.03,0.07692105997344569,General business expenses,2025-01-15 01:58:36.497189,1
INV-3107,Amazon Web Services,7376.7,1327.81,0.18,Cloud computing services for Q1 2024,2024-07-20 01:58:36.481350,0
INV-2585,Microsoft Corp,4382.14,788.79,0.18,Hardware procurement and installation,2024-09-23 01:58:36.481350,0
INV-9344,Amazon Web Services,8075.88,1453.66,0.18,Hardware procurement and installation,2025-04-01 01:58:36.481350,0
INV-8289,Apple Inc,4140.1,745.22,0.18,Professional consulting services,2025-03-11 01:58:36.481350,0
INV-5187,Oracle Corporation,1921.28,345.83,0.18,Professional consulting services,2025-04-18 01:58:36.481350,0
INV-2180,Salesforce Inc,8168.7,1470.37,0.18,Software licensing and support services,2024-11-23 01:58:36.481350,0
E9RVIG42,Microsft Corp,1000.0,180.0,0.18,Emergency maintenance work,2025-01-09 01:58:36.481350,1
INV-9249,Amazon Web Services,4793.54,862.84,0.18,Software licensing and support services,2024-11-10 01:58:36.481350,0
INV-2288,Amazon Web Servces,5000.0,900.0,0.18,Various professional services,2025-03-13 01:58:36.481350,1
S3JMLCCE,Oracl Corporation,9105.42,1638.98,0.18,General business expenses,2024-12-24 01:58:36.481350,1
INV-3384,Amazon Web Services,1750.62,315.11,0.18,Professional consulting services,2024-12-10 01:58:36.481350,0
INV-7894,IBM Corporaton,14070.77,2532.74,0.18,Emergency maintenance work,2024-12-16 01:58:36.481350,1
INV-2520,Microsoft Corp,9217.45,1659.14,0.18,Professional consulting services,2025-03-24 01:58:36.481350,0
INV-9349,Microsft Corp,26348.38,4742.71,0.18,Miscellaneous services and products,2025-01-22 01:58:36.481350,1
INV-9646,Amazon Web Services,5667.73,1020.19,0.18,Hardware procurement and installation,2024-11-18 01:58:36.481350,0
INV-8024,Microsft Corp,10000.0,2391.95,0.2354180739348392,Miscellaneous services and products,2024-07-18 01:58:36.497189,1
INV-9241,Apple Inc,7341.41,1321.45,0.18,Professional consulting services,2025-03-01 01:58:36.481350,0
INV-2597,Salesforce Inc,9984.51,1797.21,0.18,Cloud computing services for Q1 2024,2025-01-01 01:58:36.481350,0
INV-9310,Gogle LLC,22507.23,1987.98,0.08706291857188665,General business expenses,2025-03-21 01:58:36.497189,1
INV-8930,Salesforce Inc,1519.46,273.5,0.18,Software licensing and support services,2024-10-30 01:58:36.481350,0
INV-7470,Amazon Web Servces,1269.37,139.67,0.09847738658911963,Emergency maintenance work,2024-09-29 01:58:36.481350,1
INV-2091,Salesforce Inc,2988.47,537.92,0.18,Professional consulting services,2024-11-24 01:58:36.481350,0
INV-1922,Apple Inc,3833.74,690.07,0.18,Software licensing and support services,2024-09-21 01:58:36.481350,0
INV-3955,Oracl Corporation,2744.21,493.96,0.18,General business expenses,2024-11-14 01:58:36.481350,1
INV-7586,Gogle LLC,7032.43,1265.84,0.18,Miscellaneous services and products,2024-10-18 01:58:36.481350,1
ZCBXYY2Y,Oracl Corporation,10000.0,2244.77,0.22671695624792754,General business expenses,2024-10-09 01:58:36.497189,1
INV-2710,IBM Corporaton,46180.94,8312.57,0.18,Miscellaneous services and products,2024-08-14 01:58:36.481350,1
INV-1879,Microsoft Corp,1206.08,217.09,0.18,Professional consulting services,2024-11-02 01:58:36.481350,0
8NPYQXP8,Salesforec Inc,49026.07,9662.88,0.1971312951259827,Emergency maintenance work,2024-11-21 01:58:36.497189,1
INV-1340,Gogle LLC,45965.58,10011.67,0.21695319511857603,Emergency maintenance work,2025-01-05 01:58:36.481350,1
AM584XGG,Gogle LLC,9422.79,1696.1,0.18,Miscellaneous services and products,2025-05-16 01:58:36.481350,1
INV-7548,Amazon Web Servces,6708.8,972.69,0.13819730645637468,Various professional services,2025-06-16 01:58:36.481350,1
48K5K446,Microsft Corp,48838.05,8790.85,0.18,Various professional services,2024-07-19 01:58:36.497189,1
QDQ7R6N3,Amazon Web Servces,42479.53,7646.32,0.18,Miscellaneous services and products,2025-04-18 01:58:36.481350,1
INV-3762,IBM Corporation,6860.7,1234.93,0.18,Professional consulting services,2025-07-11 01:58:36.481350,0
INV-2085,Oracle Corporation,3877.86,698.01,0.18,Professional consulting services,2025-01-15 01:58:36.481350,0
INV-6377,IBM Corporaton,5000.0,900.0,0.18,Emergency maintenance work,2024-10-04 01:58:36.481350,1
INV-1746,Salesforce Inc,7732.55,1391.86,0.18,Professional consulting services,2024-11-27 01:58:36.481350,0
